updatedAt; title; locality; rent; url
"2023-07-20T05:40:23.811Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 50000; "https://classifieds.mygate.com/listing/64b8c8ac8dc97d001c9a5e74"
"2023-06-27T04:35:04.720Z"; "3 BHK, Sobha Silicon Oasis"; "Hosur Road"; 58000; "https://classifieds.mygate.com/listing/649a66f2b809b4001c6e0e74"
"2024-04-22T09:12:48.490Z"; "1 BHK, The Green Terraces"; "Electronic City"; 26001; "https://classifieds.mygate.com/listing/6459e8a2314309001ce60577"
"2024-04-13T02:24:46.961Z"; "3 BHK, The Green Terraces"; "Electronic City"; 40000; "https://classifieds.mygate.com/listing/641a8de10010d8001ce09862"
"2024-03-30T09:38:57.671Z"; "3 BHK, The Green Terraces"; "Electronic City"; 45000; "https://classifieds.mygate.com/listing/6607ca8eed736d001cbc257c"
"2024-03-01T11:49:28.600Z"; "2 BHK, The Green Terraces"; "Electronic City"; 30000; "https://classifieds.mygate.com/listing/6199c01cc4e5d3001372023f"
"2024-02-20T13:26:00.019Z"; "2 BHK, The Green Terraces"; "Electronic City"; 37000; "https://classifieds.mygate.com/listing/65d49f027de8b0001dfff9e2"
"2024-01-31T08:22:33.187Z"; "3 BHK, The Green Terraces"; "Electronic City"; 60000; "https://classifieds.mygate.com/listing/65ba033f66f50a001c01f626"
"2023-11-19T04:48:29.709Z"; "1 BHK, The Green Terraces"; "Electronic City"; 22000; "https://classifieds.mygate.com/listing/6559923f01d278001c2c15a3"
"2023-12-27T12:55:53.737Z"; "3 BHK, Smondo 2"; "Electronic City"; 42000; "https://classifieds.mygate.com/listing/658c1ed7d40afd001c7e217c"
"2023-12-23T09:09:26.125Z"; "3 BHK, Smondo 2"; "Electronic City"; 32000; "https://classifieds.mygate.com/listing/64d44bf6d6ba17001c12bca5"
"2023-11-28T06:30:01.151Z"; "2 BHK, Smondo 2"; "Electronic City"; 28000; "https://classifieds.mygate.com/listing/62f89d38894187001da66b25"
"2023-10-14T06:49:18.629Z"; "1 BHK, Smondo 2"; "Electronic City"; 20000; "https://classifieds.mygate.com/listing/652a39e7f38e4f001cbd5436"
"2024-04-09T14:41:20.124Z"; "3 BHK, Navami Funique"; "Electronic City"; 50000; "https://classifieds.mygate.com/listing/65fd09610fe185001df2bd14"
"2024-02-23T02:54:16.561Z"; "3 BHK, Navami Funique"; "Electronic City"; 60000; "https://classifieds.mygate.com/listing/65d808d50400b2001cfea871"
"2024-04-18T08:42:52.990Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 36000; "https://classifieds.mygate.com/listing/645f0e54de4d9e001cfe5a58"
"2024-04-20T07:28:25.889Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 24000; "https://classifieds.mygate.com/listing/661febcf404fcc001ca6d0ee"
"2024-04-18T03:31:31.264Z"; "3 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 27000; "https://classifieds.mygate.com/listing/66209409174f67001cb96d54"
"2024-04-17T10:49:48.073Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 32000; "https://classifieds.mygate.com/listing/661fa7cd0ff697001cc7193f"
"2024-04-16T05:28:02.141Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 30000; "https://classifieds.mygate.com/listing/661e0c58a82bbb001cb6e128"
"2024-04-13T13:14:53.049Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 29000; "https://classifieds.mygate.com/listing/660660e39daf6a001c6cf3f5"
"2024-04-08T07:13:36.338Z"; "3 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 30000; "https://classifieds.mygate.com/listing/66139916ad0074001c86bf28"
"2024-04-03T13:55:38.129Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 23000; "https://classifieds.mygate.com/listing/660afefbd2eada001c3d1097"
"2024-04-01T16:40:20.308Z"; "2 BHK, GM Infinite E City Town Phase 2"; "Bommasandra"; 32000; "https://classifieds.mygate.com/listing/660ae36b07ef87001cdf96c6"
